"Name","Status","Extension","SizeMB","LastModified","RelativePath","FullPath"
"tank_platform_classifier_v1_exact_types.pt","EXPERIMENTAL_REVIEW",".pt","9.81","7/8/2026 4:22:42 PM","tank_platform_classifier_v1_exact_types.pt","C:\Users\UAVlab\Desktop\uav_ai_company\tank_platform_classifier_v1_exact_types.pt"
"tank_platform_classifier_v2_exact_focus.pt","EXPERIMENTAL_REVIEW",".pt","9.81","7/8/2026 4:52:06 PM","tank_platform_classifier_v2_exact_focus.pt","C:\Users\UAVlab\Desktop\uav_ai_company\tank_platform_classifier_v2_exact_focus.pt"
"tank_type_classifier_v4_safe_unknown.pt","EXPERIMENTAL_REVIEW",".pt","9.8","7/9/2026 12:03:59 PM","tank_type_classifier_v4_safe_unknown.pt","C:\Users\UAVlab\Desktop\uav_ai_company\tank_type_classifier_v4_safe_unknown.pt"
"armored_best_fast_balanced.onnx","ONNX_REVIEW",".onnx","42.75","6/24/2026 3:01:22 PM","armored_best_fast_balanced.onnx","C:\Users\UAVlab\Desktop\uav_ai_company\armored_best_fast_balanced.onnx"
"coco_surveillance_yolov8n_640.onnx","ONNX_REVIEW",".onnx","12.26","6/26/2026 10:07:06 AM","coco_surveillance_yolov8n_640.onnx","C:\Users\UAVlab\Desktop\uav_ai_company\coco_surveillance_yolov8n_640.onnx"
"coco_surveillance_yolov8s_640 (1).onnx","ONNX_REVIEW",".onnx","42.79","6/26/2026 10:14:37 AM","coco_surveillance_yolov8s_640 (1).onnx","C:\Users\UAVlab\Desktop\uav_ai_company\coco_surveillance_yolov8s_640 (1).onnx"
"person_best.onnx","ONNX_REVIEW",".onnx","42.79","6/24/2026 12:01:39 PM","person_best.onnx","C:\Users\UAVlab\Desktop\uav_ai_company\person_best.onnx"
"best.pt","TRAINING_CHECKPOINT",".pt","9.79","7/9/2026 12:19:03 PM","runs\classify\armored_vehicle_classifier_v1\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\armored_vehicle_classifier_v1\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","9.79","7/9/2026 4:14:32 PM","runs\classify\artillery_launcher_classifier_v1\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\artillery_launcher_classifier_v1\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","9.79","7/8/2026 2:55:06 PM","runs\classify\tank_platform_classifier_v0\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_platform_classifier_v0\weights\best.pt"
