"Name","Extension","SizeMB","SHA256","LastModified","RelativePath","FullPath"
"last.pt",".pt","9.81","0DB8304F9A48EA908DB35796265CA71278C983D186C835F26495CB763F28DFD5","7/8/2026 4:52:06 PM","runs\classify\tank_platform_classifier_v2_exact_focus\weights\last.pt","<legacy-project-root>\runs\classify\tank_platform_classifier_v2_exact_focus\weights\last.pt"
"best.pt",".pt","9.8","F6DF8E398E99425694C993602DEED34EC15CDB97DEB5887D6DA4F7FA8A4E2DF4","7/8/2026 5:00:53 PM","runs\classify\tank_type_classifier_v3_only_tanks\weights\best.pt","<legacy-project-root>\runs\classify\tank_type_classifier_v3_only_tanks\weights\best.pt"
"last.pt",".pt","9.8","DEAFCB9F528EAA9AF26117BFBC814686094A92D6EE8A5ABEAA49805D2A61F417","7/8/2026 5:00:53 PM","runs\classify\tank_type_classifier_v3_only_tanks\weights\last.pt","<legacy-project-root>\runs\classify\tank_type_classifier_v3_only_tanks\weights\last.pt"
"best.pt",".pt","9.8","3C3891FD49DBC857DD5F4C8B2AE05AE27E99D8350669314D898DB7E4236F13F2","7/9/2026 10:17:04 AM","runs\classify\tank_type_classifier_v3_only_tanks-2\weights\best.pt","<legacy-project-root>\runs\classify\tank_type_classifier_v3_only_tanks-2\weights\best.pt"
"last.pt",".pt","9.8","DB18739D1DE17EE2F42817336D6ABE0D8853078A4F728D1A2CCCCF4735623FFE","7/9/2026 10:17:04 AM","runs\classify\tank_type_classifier_v3_only_tanks-2\weights\last.pt","<legacy-project-root>\runs\classify\tank_type_classifier_v3_only_tanks-2\weights\last.pt"
"best.pt",".pt","9.8","10718E4AA348E1BD5ADB7E366C8B05B0E2C2D5EC65CFA04329AF20644292ACB2","7/9/2026 12:03:59 PM","runs\classify\tank_type_classifier_v4_safe_unknown\weights\best.pt","<legacy-project-root>\runs\classify\tank_type_classifier_v4_safe_unknown\weights\best.pt"
"last.pt",".pt","9.8","FE4B554DFCE3838F4D6B50C520E74FEFF5E5F07C927ABC1236D9A3842EE47376","7/9/2026 12:03:59 PM","runs\classify\tank_type_classifier_v4_safe_unknown\weights\last.pt","<legacy-project-root>\runs\classify\tank_type_classifier_v4_safe_unknown\weights\last.pt"
"best.pt",".pt","21.45","68E7C4783AFAAFDA823EE279EA48BAE7475824ED014DC75B30097ECE8275B5EC","7/3/2026 4:10:44 PM","runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\best.pt","<legacy-project-root>\runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\best.pt"
"last.pt",".pt","21.45","5F43D3BDCC68ECE9AB1E794BFD892A92DF95AFB42228F20344C3C09768CDF9FE","7/3/2026 4:10:44 PM","runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\last.pt","<legacy-project-root>\runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\last.pt"
"best.pt",".pt","5.96","AE9FEAC2A2737C6D1705CF2A25D5865CFE9CA00D7854D03586BA5EF67438930A","6/30/2026 11:03:05 AM","training_runs\btr_yolov8n_local_test\weights\best.pt","<legacy-project-root>\training_runs\btr_yolov8n_local_test\weights\best.pt"
